24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 17:19:45 | GET | cafeteria-api/categorias
31-03-2026 17:25:58 | GET | cafeteria-api/categorias
31-03-2026 17:26:15 | POST | cafeteria-api/categorias
31-03-2026 17:26:15 | GET | cafeteria-api/categorias
31-03-2026 17:26:17 | OPTIONS | cafeteria-api/categorias/9
31-03-2026 17:26:17 | DELETE | cafeteria-api/categorias/9
31-03-2026 17:26:17 | GET | cafeteria-api/categorias
31-03-2026 18:35:28 | GET | cafeteria-api/categorias
31-03-2026 18:35:30 | GET | cafeteria-api/categorias
31-03-2026 18:35:31 | GET | cafeteria-api/produtos
31-03-2026 18:38:57 | GET | cafeteria-api/produtos
31-03-2026 18:39:25 | GET | cafeteria-api/produtos
31-03-2026 18:39:28 | GET | cafeteria-api/produtos
31-03-2026 18:41:07 | GET | cafeteria-api/produtos
31-03-2026 18:41:09 | GET | cafeteria-api/produtos
31-03-2026 18:41:11 | GET | cafeteria-api/produtos
31-03-2026 18:41:15 | GET | cafeteria-api/produtos
31-03-2026 18:41:19 | GET | cafeteria-api/produtos
31-03-2026 18:41:23 | GET | cafeteria-api/produtos
31-03-2026 18:41:43 | OPTIONS | cafeteria-api/produtos
31-03-2026 18:41:43 | POST | cafeteria-api/produtos
31-03-2026 18:41:43 | GET | cafeteria-api/produtos
31-03-2026 18:42:20 | GET | cafeteria-api/produtos
31-03-2026 18:42:20 | GET | cafeteria-api/produtos
31-03-2026 18:42:21 | GET | cafeteria-api/produtos
31-03-2026 18:42:26 | GET | cafeteria-api/produtos
31-03-2026 18:42:30 | GET | cafeteria-api/produtos
31-03-2026 18:42:40 | GET | cafeteria-api/produtos
31-03-2026 18:42:42 | GET | cafeteria-api/produtos
31-03-2026 18:42:45 | GET | cafeteria-api/produtos
31-03-2026 18:42:57 | OPTIONS | cafeteria-api/produtos
31-03-2026 18:42:57 | POST | cafeteria-api/produtos
31-03-2026 18:42:57 | GET | cafeteria-api/produtos
31-03-2026 18:43:51 | GET | cafeteria-api/produtos
31-03-2026 18:43:58 | GET | cafeteria-api/produtos
31-03-2026 18:44:37 | GET | cafeteria-api/produtos
31-03-2026 18:44:38 | GET | cafeteria-api/produtos
31-03-2026 18:44:39 | GET | cafeteria-api/categorias
31-03-2026 18:44:39 | GET | cafeteria-api/categorias
31-03-2026 18:44:41 | GET | cafeteria-api/produtos
31-03-2026 18:44:44 | GET | cafeteria-api/produtos
31-03-2026 18:44:50 | GET | cafeteria-api/produtos
31-03-2026 18:44:52 | GET | cafeteria-api/produtos
31-03-2026 18:44:54 | GET | cafeteria-api/produtos
31-03-2026 18:44:56 | GET | cafeteria-api/produtos
31-03-2026 18:45:03 | OPTIONS | cafeteria-api/produtos
31-03-2026 18:45:03 | POST | cafeteria-api/produtos
31-03-2026 18:45:03 | GET | cafeteria-api/produtos
31-03-2026 18:46:11 | GET | cafeteria-api/produtos
31-03-2026 18:46:13 | GET | cafeteria-api/produtos
31-03-2026 18:46:15 | GET | cafeteria-api/produtos
31-03-2026 18:46:31 | GET | cafeteria-api/produtos
31-03-2026 18:46:33 | GET | cafeteria-api/produtos
31-03-2026 18:46:35 | GET | cafeteria-api/produtos
31-03-2026 18:46:45 | GET | cafeteria-api/produtos
31-03-2026 18:46:46 | GET | cafeteria-api/produtos
31-03-2026 18:46:47 | GET | cafeteria-api/produtos
31-03-2026 18:46:50 | GET | cafeteria-api/produtos
31-03-2026 19:02:53 | GET | cafeteria-api/produtos
31-03-2026 19:03:00 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:03:00 | POST | cafeteria-api/produtos
31-03-2026 19:07:03 | GET | cafeteria-api/produtos
31-03-2026 19:07:07 | GET | cafeteria-api/produtos
31-03-2026 19:07:09 | GET | cafeteria-api/produtos
31-03-2026 19:07:11 | GET | cafeteria-api/produtos
31-03-2026 19:07:15 | GET | cafeteria-api/produtos
31-03-2026 19:07:18 | GET | cafeteria-api/produtos
31-03-2026 19:07:27 | GET | cafeteria-api/produtos
31-03-2026 19:07:32 | GET | cafeteria-api/produtos
31-03-2026 19:07:33 | GET | cafeteria-api/produtos
31-03-2026 19:07:36 | GET | cafeteria-api/produtos
31-03-2026 19:07:37 | GET | cafeteria-api/produtos
31-03-2026 19:07:48 | GET | cafeteria-api/produtos
31-03-2026 19:07:59 | GET | cafeteria-api/produtos
31-03-2026 19:09:05 | GET | cafeteria-api/produtos
31-03-2026 19:15:10 | GET | cafeteria-api/categorias
31-03-2026 19:15:17 | GET | cafeteria-api/produtos
31-03-2026 19:15:32 | GET | cafeteria-api/categorias
31-03-2026 19:15:39 | GET | cafeteria-api/categorias
31-03-2026 19:15:45 | GET | cafeteria-api/categorias
31-03-2026 19:15:48 | GET | cafeteria-api/categorias
31-03-2026 19:15:51 | GET | cafeteria-api/categorias
31-03-2026 19:15:52 | GET | cafeteria-api/categorias
31-03-2026 19:17:10 | GET | cafeteria-api/produtos
31-03-2026 19:17:11 | GET | cafeteria-api/produtos
31-03-2026 19:17:16 | GET | cafeteria-api/produtos
31-03-2026 19:17:25 | GET | cafeteria-api/categorias
31-03-2026 19:17:30 | GET | cafeteria-api/produtos
31-03-2026 19:17:32 | GET | cafeteria-api/categorias
31-03-2026 19:17:41 | POST | cafeteria-api/categorias
31-03-2026 19:17:56 | GET | cafeteria-api/categorias
31-03-2026 19:18:00 | GET | cafeteria-api/categorias
31-03-2026 19:18:08 | GET | cafeteria-api/produtos
31-03-2026 19:18:21 | GET | cafeteria-api/categorias
31-03-2026 19:18:29 | GET | cafeteria-api/produtos
31-03-2026 19:18:35 | GET | cafeteria-api/produtos
31-03-2026 19:18:42 | GET | cafeteria-api/produtos
31-03-2026 19:18:46 | GET | cafeteria-api/produtos
31-03-2026 19:18:49 | GET | cafeteria-api/produtos
31-03-2026 19:18:50 | GET | cafeteria-api/categorias
31-03-2026 19:19:10 | GET | cafeteria-api/categorias
31-03-2026 19:19:15 | GET | cafeteria-api/categorias
31-03-2026 19:19:17 | GET | cafeteria-api/categorias
31-03-2026 19:19:20 | GET | cafeteria-api/categorias
31-03-2026 19:19:22 | GET | cafeteria-api/categorias
31-03-2026 19:19:25 | GET | cafeteria-api/categorias
31-03-2026 19:19:26 | GET | cafeteria-api/categorias
31-03-2026 19:19:35 | GET | cafeteria-api/categorias
