2026-04-10 04:40:01 | GET | meus-planos-api/categorias
2026-04-10 04:40:08 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:40:08 | POST | meus-planos-api/categorias
2026-04-10 04:42:00 | GET | meus-planos-api/categorias
2026-04-10 04:42:06 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:42:06 | POST | meus-planos-api/categorias
2026-04-10 04:42:06 | GET | meus-planos-api/categorias
2026-04-10 04:42:12 | GET | meus-planos-api/itens
2026-04-10 04:42:12 | GET | meus-planos-api/categorias
2026-04-10 04:42:24 | OPTIONS | meus-planos-api/itens
2026-04-10 04:42:24 | POST | meus-planos-api/itens
2026-04-10 04:42:24 | GET | meus-planos-api/itens
2026-04-10 04:57:25 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/itens
2026-04-10 04:58:34 | GET | meus-planos-api/categorias
2026-04-10 04:58:34 | GET | meus-planos-api/itens
2026-04-10 05:01:26 | GET | meus-planos-api/categorias
2026-04-10 05:01:26 | GET | meus-planos-api/itens
2026-04-10 05:01:29 | GET | meus-planos-api/categorias
2026-04-10 05:04:43 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/itens
2026-04-10 05:05:15 | GET | meus-planos-api/categorias
2026-04-10 14:28:46 | GET | meus-planos-api/categorias
2026-04-10 14:28:55 | GET | meus-planos-api/categorias-get
2026-04-10 14:45:44 | GET | meus-planos-api/categorias
2026-04-10 14:45:54 | GET | meus-planos-api/categorias
2026-04-10 14:45:56 | GET | meus-planos-api/categorias
2026-04-10 14:46:04 | GET | meus-planos-api/categorias
2026-04-10 14:46:05 | GET | meus-planos-api/categorias
2026-04-10 14:46:12 | GET | meus-planos-api/categorias
2026-04-10 14:46:16 | GET | meus-planos-api/categorias
2026-04-10 14:46:19 | GET | meus-planos-api/categorias
2026-04-10 14:46:23 | GET | meus-planos-api/categorias
2026-04-10 14:46:26 | GET | meus-planos-api/categorias
2026-04-10 14:46:34 | OPTIONS | meus-planos-api/categorias
2026-04-10 14:46:34 | POST | meus-planos-api/categorias
2026-04-10 14:46:34 | GET | meus-planos-api/categorias
2026-04-10 14:50:24 | GET | meus-planos-api/produtos
2026-04-10 14:50:26 | GET | meus-planos-api/produtos
2026-04-10 14:50:28 | GET | meus-planos-api/produtos
2026-04-10 14:51:11 | GET | meus-planos-api/produtos
2026-04-10 14:51:12 | GET | meus-planos-api/produtos
2026-04-10 14:51:15 | GET | meus-planos-api/produtos
2026-04-10 14:51:17 | GET | meus-planos-api/produtos
2026-04-10 14:51:20 | GET | meus-planos-api/produtos
2026-04-10 14:51:24 | GET | meus-planos-api/produtos
2026-04-10 14:51:27 | GET | meus-planos-api/categorias
2026-04-10 14:51:35 | GET | meus-planos-api/produtos
2026-04-10 14:52:58 | GET | meus-planos-api/categorias-get
2026-04-10 14:53:08 | GET | meus-planos-api/categorias
2026-04-10 14:56:55 | GET | meus-planos-api/produtos
2026-04-10 14:57:00 | GET | meus-planos-api/produtos
2026-04-10 14:57:04 | GET | meus-planos-api/produtos
2026-04-10 14:57:05 | GET | meus-planos-api/produtos
2026-04-10 14:57:13 | GET | meus-planos-api/produtos
2026-04-10 14:57:17 | GET | meus-planos-api/produtos
2026-04-10 14:57:18 | GET | meus-planos-api/produtos
2026-04-10 14:57:20 | GET | meus-planos-api/produtos
2026-04-10 14:57:23 | GET | meus-planos-api/produtos
2026-04-10 14:57:24 | GET | meus-planos-api/produtos
2026-04-10 14:57:28 | GET | meus-planos-api/produtos
2026-04-10 14:57:29 | GET | meus-planos-api/produtos
2026-04-10 14:57:41 | GET | meus-planos-api/produtos
2026-04-10 14:57:45 | GET | meus-planos-api/produtos
2026-04-10 14:58:01 | GET | meus-planos-api/produtos
2026-04-10 14:58:08 | GET | meus-planos-api/produtos
2026-04-10 14:58:10 | GET | meus-planos-api/produtos
2026-04-10 14:58:15 | GET | meus-planos-api/categorias
2026-04-10 14:58:20 | OPTIONS | meus-planos-api/categorias
2026-04-10 14:58:20 | POST | meus-planos-api/categorias
2026-04-10 14:58:20 | GET | meus-planos-api/categorias
2026-04-10 14:58:24 | GET | meus-planos-api/categorias
2026-04-10 14:58:25 | GET | meus-planos-api/categorias
2026-04-10 14:58:26 | GET | meus-planos-api/produtos
2026-04-10 14:58:28 | GET | meus-planos-api/categorias
2026-04-10 14:58:44 | GET | meus-planos-api/categorias
2026-04-10 14:58:55 | GET | meus-planos-api/categorias
2026-04-10 14:59:00 | GET | meus-planos-api/categorias
2026-04-10 15:29:47 | GET | meus-planos-api/categorias
2026-04-10 15:30:10 | GET | meus-planos-api/categorias
2026-04-10 15:30:12 | GET | meus-planos-api/categorias
2026-04-10 15:30:15 | GET | meus-planos-api/categorias
2026-04-10 15:30:17 | GET | meus-planos-api/categorias
2026-04-10 15:30:25 | OPTIONS | meus-planos-api/categorias
2026-04-10 15:30:25 | POST | meus-planos-api/categorias
2026-04-10 15:30:25 | GET | meus-planos-api/categorias
2026-04-10 15:30:41 | GET | meus-planos-api/produtos
